organism_name,infraspecific_name,species,genus,family,order,class,phylum,superkingdom
Pseudoclostridium thermosuccinogenes,strain=DSM 5807,Pseudoclostridium thermosuccinogenes,Pseudoclostridium,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Pseudodesulfovibrio indicus,strain=J2,Pseudodesulfovibrio indicus,Pseudodesulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
Pseudogulbenkiania sp. NH8B,strain=NH8B,Pseudogulbenkiania sp. NH8B,Pseudogulbenkiania,Chromobacteriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
Pseudohalocynthiibacter aestuariivivens,strain=RR4-35,Pseudohalocynthiibacter aestuariivivens,Pseudohalocynthiibacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Pseudohongiella spirulinae,strain=KCTC 32221,Pseudohongiella spirulinae,Pseudohongiella,,,Gammaproteobacteria,Proteobacteria,Bacteria
Pseudoleptotrichia goodfellowii,strain=JCM16774,Pseudoleptotrichia goodfellowii,Pseudoleptotrichia,Leptotrichiaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria
Pseudomonas aeruginosa,strain=L10,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Pseudonocardia sp. HH130630-07,strain=HH130630-07,Pseudonocardia sp. HH130630-07,Pseudonocardia,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia,Actinobacteria,Bacteria
Pseudooceanicola algae,strain=Lw-13e,Pseudooceanicola algae,Pseudooceanicola,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Pseudopedobacter saltans DSM 12145,strain=DSM 12145,Pseudopedobacter saltans,Pseudopedobacter,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,Bacteria
Pseudorhizobium banfieldiae,strain=NT-26,Pseudorhizobium banfieldiae,Pseudorhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Pseudorhodoplanes sinuspersici,strain=RIPI110,Pseudorhodoplanes sinuspersici,Pseudorhodoplanes,,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Pseudothermotoga lettingae TMO,strain=TMO,Pseudothermotoga lettingae,Pseudothermotoga,Thermotogaceae,Thermotogales,Thermotogae,Thermotogae,Bacteria
Pseudoxanthomonas suwonensis,strain=J1,Pseudoxanthomonas suwonensis,Pseudoxanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Psychrobacter arenosus,,Psychrobacter arenosus,Psychrobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Psychroflexus torquis ATCC 700755,strain=ATCC 700755,Psychroflexus torquis,Psychroflexus,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Psychromicrobium lacuslunae,strain=IHBB 11108,Psychromicrobium lacuslunae,Psychromicrobium,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Psychromonas ingrahamii 37,strain=37,Psychromonas ingrahamii,Psychromonas,Psychromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Psychrosphaera aestuarii,strain=PSC101,Psychrosphaera aestuarii,Psychrosphaera,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Pusillimonas thiosulfatoxidans,strain=YE3,Pusillimonas thiosulfatoxidans,Pusillimonas,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Pyrobaculum aerophilum str. IM2,strain=IM2,Pyrobaculum aerophilum,Pyrobaculum,Thermoproteaceae,Thermoproteales,Thermoprotei,Crenarchaeota,Archaea
Pyrococcus furiosus COM1,strain=COM1,Pyrococcus furiosus,Pyrococcus,Thermococcaceae,Thermococcales,Thermococci,Euryarchaeota,Archaea
Pyrodictium delaneyi,strain=Su06,Pyrodictium delaneyi,Pyrodictium,Pyrodictiaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea
Pyrolobus fumarii 1A,strain=1A,Pyrolobus fumarii,Pyrolobus,Pyrodictiaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea
Pyruvatibacter mobilis,strain=CGMCC 1.15125,Pyruvatibacter mobilis,Pyruvatibacter,Parvibaculaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Qipengyuania sediminis,strain=CGMCC 1.12928,Qipengyuania sediminis,Qipengyuania,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Rahnella aquatilis,strain=ZF7,Rahnella aquatilis,Rahnella,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Ralstonia syzygii subsp. celebesensis,strain=UGMSS_Db01,Ralstonia syzygii,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Ramlibacter tataouinensis,strain=5-10,Ramlibacter tataouinensis,Ramlibacter,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Raoultella ornithinolytica,strain=S12,Raoultella ornithinolytica,Raoultella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Rathayibacter tritici,strain=NCPPB 1953,Rathayibacter tritici,Rathayibacter,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Reinekea forsetii,strain=Hel1_31_D35,Reinekea forsetii,Reinekea,Saccharospirillaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
Renibacterium salmoninarum,strain=H2,Renibacterium salmoninarum,Renibacterium,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Rhizobacter gummiphilus,strain=NS21,Rhizobacter gummiphilus,Rhizobacter,,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Rhizobium sp. ACO-34A,strain=ACO-34A,Rhizobium sp. ACO-34A,Rhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Rhizorhabdus dicambivorans,strain=Ndbn-20,Rhizorhabdus dicambivorans,Rhizorhabdus,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Rhodanobacter denitrificans,strain=2APBS1,Rhodanobacter denitrificans,Rhodanobacter,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Rhodobaca barguzinensis,strain=alga05,Rhodobaca barguzinensis,Rhodobaca,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Rhodobacter blasticus,strain=28/5,Rhodobacter blasticus,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Rhodococcus sp. p52,strain=p52,Rhodococcus sp. p52,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinomycetia,Actinobacteria,Bacteria
Rhodoferax ferrireducens T118,strain=DSM 15236,Rhodoferax ferrireducens,Rhodoferax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Candidatus Rhodoluna planktonica,strain=MWH-Dar1,Candidatus Rhodoluna planktonica,Rhodoluna,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Rhodomicrobium vannielii ATCC 17100,strain=ATCC 17100,Rhodomicrobium vannielii,Rhodomicrobium,Hyphomicrobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Rhodopirellula baltica SH 1,strain=1,Rhodopirellula baltica,Rhodopirellula,Pirellulaceae,Pirellulales,Planctomycetia,Planctomycetes,Bacteria
Rhodoplanes sp. Z2-YC6860,strain=YC6860,Rhodoplanes sp. Z2-YC6860,Rhodoplanes,Hyphomicrobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Rhodopseudomonas palustris,strain=YSC3,Rhodopseudomonas palustris,Rhodopseudomonas,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Rhodospirillum centenum SW,strain=SW; ATCC 51521,Rhodospirillum centenum,Rhodospirillum,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Rhodothermus marinus,strain=AA2-13,Rhodothermus marinus,Rhodothermus,Rhodothermaceae,Bacteroidetes Order II. Incertae sedis,,Bacteroidetes,Bacteria
Rhodovulum sp. MB263,strain=MB263,Rhodovulum sp. MB263,Rhodovulum,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Rickettsia typhi,,Rickettsia typhi,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
Candidatus Rickettsiella viridis,strain=Ap-RA04,Candidatus Rickettsiella viridis,Rickettsiella,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria
Riemerella anatipestifer Yb2,strain=Yb2,Riemerella anatipestifer,Riemerella,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Rippkaea orientalis PCC 8801,strain=PCC 8801,Rippkaea orientalis,Rippkaea,Aphanothecaceae,Chroococcales,,Cyanobacteria,Bacteria
Rivularia sp. PCC 7116,strain=PCC 7116,Rivularia sp. PCC 7116,Rivularia,Rivulariaceae,Nostocales,,Cyanobacteria,Bacteria
Robiginitalea biformata HTCC2501,strain=HTCC2501,Robiginitalea biformata,Robiginitalea,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Rodentibacter heylii,strain=G1,Rodentibacter heylii,Rodentibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
Roseateles depolymerans,strain=KCTC 42856,Roseateles depolymerans,Roseateles,,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Roseburia hominis,,Roseburia hominis,Roseburia,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Roseibacterium elongatum DSM 19469,strain=DFL-43,Roseibacterium elongatum,Roseibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Roseicitreum antarcticum,strain=ZS2-28,Roseicitreum antarcticum,Roseicitreum,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Roseiflexus sp. RS-1,strain=RS-1,Roseiflexus sp. RS-1,Roseiflexus,Roseiflexaceae,Chloroflexales,Chloroflexia,Chloroflexi,Bacteria
Roseimaritima ulvae,strain=UC8,Roseimaritima ulvae,Roseimaritima,Pirellulaceae,Pirellulales,Planctomycetia,Planctomycetes,Bacteria
Roseitalea porphyridii,strain=MA7-20,Roseitalea porphyridii,Roseitalea,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Roseivirga pacifica,strain=9dcg1,Roseivirga pacifica,Roseivirga,Roseivirgaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Roseobacter denitrificans,strain=FDAARGOS_309,Roseobacter denitrificans,Roseobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Roseomonas sp. FDAARGOS_362,strain=FDAARGOS_362,Roseomonas sp. FDAARGOS_362,Roseomonas,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Roseovarius mucosus,strain=SMR3,Roseovarius mucosus,Roseovarius,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Rothia terrae,strain=KJZ-14,Rothia terrae,Rothia,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Rouxiella badensis,strain=C173,Rouxiella badensis,Rouxiella,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Rubinisphaera brasiliensis DSM 5305,strain=DSM 5305,Rubinisphaera brasiliensis,Rubinisphaera,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetes,Bacteria
Rubrivivax gelatinosus IL144,strain=IL144,Rubrivivax gelatinosus,Rubrivivax,,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Rubrobacter xylanophilus,strain=AA3-22,Rubrobacter xylanophilus,Rubrobacter,Rubrobacteraceae,Rubrobacterales,Rubrobacteria,Actinobacteria,Bacteria
Ruegeria pomeroyi DSS-3,strain=DSS-3,Ruegeria pomeroyi,Ruegeria,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Rufibacter radiotolerans,strain=DG31D,Rufibacter radiotolerans,Rufibacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Rugosibacter aromaticivorans,strain=Ca6,Rugosibacter aromaticivorans,Rugosibacter,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
Ruminiclostridium cellulolyticum H10,strain=H10,Ruminiclostridium cellulolyticum,Ruminiclostridium,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Ruminococcus bicirculans,strain=80/3,Ruminococcus bicirculans,Ruminococcus,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Rummeliibacillus stabekisii,strain=PP9,Rummeliibacillus stabekisii,Rummeliibacillus,Planococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Runella slithyformis DSM 19594,strain=DSM 19594,Runella slithyformis,Runella,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Ruthenibacterium lactatiformans,,Ruthenibacterium lactatiformans,Ruthenibacterium,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Saccharolobus solfataricus,strain=SARC-C,Saccharolobus solfataricus,Saccharolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
Saccharomonospora viridis DSM 43017,strain=DSM 43017,Saccharomonospora viridis,Saccharomonospora,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia,Actinobacteria,Bacteria
Saccharophagus degradans 2-40,strain=2-40,Saccharophagus degradans,Saccharophagus,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
Saccharopolyspora spinosa,strain=CCTCC M206084,Saccharopolyspora spinosa,Saccharopolyspora,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia,Actinobacteria,Bacteria
Saccharothrix syringae,strain=NRRL B-16468,Saccharothrix syringae,Saccharothrix,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia,Actinobacteria,Bacteria
Sagittula sp. P11,strain=P11,Sagittula sp. P11,Sagittula,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Salarchaeum sp. JOR-1,strain=JOR-1,Salarchaeum sp. JOR-1,Salarchaeum,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea
Salegentibacter sp. T436,strain=T436,Salegentibacter sp. T436,Salegentibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Salimicrobium jeotgali,strain=MJ3,Salimicrobium jeotgali,Salimicrobium,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Salinarchaeum sp. Harcht-Bsk1,strain=Harcht-Bsk1,Salinarchaeum sp. Harcht-Bsk1,Salinarchaeum,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea
Salinibacter ruber,strain=P18,Salinibacter ruber,Salinibacter,Rhodothermaceae,Bacteroidetes Order II. Incertae sedis,,Bacteroidetes,Bacteria
Salinicoccus halodurans,strain=H3B36,Salinicoccus halodurans,Salinicoccus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Salinicola tamaricis,strain=F01,Salinicola tamaricis,Salinicola,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
Salinigranum rubrum,strain=GX10,Salinigranum rubrum,Salinigranum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea
Salinimonas lutimaris,strain=DPSR-4,Salinimonas lutimaris,Salinimonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Salinispira pacifica,strain=L21-RPul-D2,Salinispira pacifica,Salinispira,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
Salinispora tropica CNB-440,strain=CNB-440,Salinispora tropica,Salinispora,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,Bacteria
Salinivibrio costicola,strain=M318,Salinivibrio costicola,Salinivibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
Salinivirga cyanobacteriivorans,strain=L21-Spi-D4,Salinivirga cyanobacteriivorans,Salinivirga,Salinivirgaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
Salipiger pacificus,strain=YSBP01,Salipiger pacificus,Salipiger,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Salmonella enterica subsp. enterica serovar Typhi,strain=WGS1146,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Sandaracinus amylolyticus,strain=DSM 53668,Sandaracinus amylolyticus,Sandaracinus,Sandaracinaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
Sanguibacter keddieii DSM 10542,strain=DSM 10542,Sanguibacter keddieii,Sanguibacter,Sanguibacteraceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Saprospira grandis str. Lewin,strain=Lewin,Saprospira grandis,Saprospira,Saprospiraceae,Saprospirales,Saprospiria,Bacteroidetes,Bacteria
Scandinavium goeteborgense,strain=CCUG 66741,Scandinavium goeteborgense,Scandinavium,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Scardovia inopinata JCM 12537,strain=JCM 12537,Scardovia inopinata,Scardovia,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia,Actinobacteria,Bacteria
Schaalia meyeri,strain=W712,Schaalia meyeri,Schaalia,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteria,Bacteria
Schlegelella thermodepolymerans,strain=DSM 15344,Schlegelella thermodepolymerans,Schlegelella,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Schleiferilactobacillus harbinensis,strain=NSMJ42,Schleiferilactobacillus harbinensis,Schleiferilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Sebaldella termitidis ATCC 33386,strain=ATCC 33386,Sebaldella termitidis,Sebaldella,Leptotrichiaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria
Secundilactobacillus paracollinoides,strain=TMW 1.1979,Secundilactobacillus paracollinoides,Secundilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Sedimenticola thiotaurini,strain=SIP-G1,Sedimenticola thiotaurini,Sedimenticola,,,Gammaproteobacteria,Proteobacteria,Bacteria
Sedimentisphaera salicampi,strain=ST-PulAB-D4,Sedimentisphaera salicampi,Sedimentisphaera,Sedimentisphaeraceae,Sedimentisphaerales,Phycisphaerae,Planctomycetes,Bacteria
Sediminicola sp. YIK13,strain=YIK13,Sediminicola sp. YIK13,Sediminicola,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Sediminispirochaeta smaragdinae DSM 11293,strain=DSM 11293,Sediminispirochaeta smaragdinae,Sediminispirochaeta,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
Segniliparus rotundus DSM 44985,strain=DSM 44985,Segniliparus rotundus,Segniliparus,Segniliparaceae,Corynebacteriales,Actinomycetia,Actinobacteria,Bacteria
Selenomonas sp. oral taxon 136,strain=F0591,Selenomonas sp. oral taxon 136,Selenomonas,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
Seonamhaeicola sp. S2-3,strain=S2-3,Seonamhaeicola sp. S2-3,Seonamhaeicola,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Serinicoccus chungangensis,strain=CCUG 59777,Serinicoccus chungangensis,Serinicoccus,Ornithinimicrobiaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Serpentinomonas raichei,strain=A1,Serpentinomonas raichei,Serpentinomonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Serratia marcescens,strain=B3R3,Serratia marcescens,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Shewanella putrefaciens,strain=ATCC 8071,Shewanella putrefaciens,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Shigella boydii,strain=FDAARGOS_1139,Shigella boydii,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Shimwellia blattae,strain=NCTC10965,Shimwellia blattae,Shimwellia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Shinella sp. HZN7,strain=HZN7,Shinella sp. HZN7,Shinella,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Siansivirga zeaxanthinifaciens CC-SAMT-1,strain=CC-SAMT-1,Siansivirga zeaxanthinifaciens,Siansivirga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Sideroxydans lithotrophicus ES-1,strain=ES-1,Sideroxydans lithotrophicus,Sideroxydans,Gallionellaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
Silicimonas algicola,strain=KC90,Silicimonas algicola,Silicimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Simiduia agarivorans SA1 = DSM 21679,strain=SA1 = DSM 21679,Simiduia agarivorans,Simiduia,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
Simkania negevensis Z,strain=Z,Simkania negevensis,Simkania,Simkaniaceae,Parachlamydiales,Chlamydiia,Chlamydiae,Bacteria
Simonsiella muelleri ATCC 29453,strain=ATCC 29453,Simonsiella muelleri,Simonsiella,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
Singulisphaera acidiphila DSM 18658,strain=DSM 18658,Singulisphaera acidiphila,Singulisphaera,Isosphaeraceae,Isosphaerales,Planctomycetia,Planctomycetes,Bacteria
Sinomonas atrocyanea,strain=KCTC 3377,Sinomonas atrocyanea,Sinomonas,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Sinorhizobium meliloti,strain=Rm41,Sinorhizobium meliloti,Sinorhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Slackia heliotrinireducens,strain=NCTC11029,Slackia heliotrinireducens,Slackia,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria
Sneathia vaginalis,strain=SN35,Sneathia vaginalis,Sneathia,Leptotrichiaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria
Snodgrassella alvi wkB2,strain=wkB2,Snodgrassella alvi,Snodgrassella,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
Sodalis endosymbiont of Henestaris halophilus,,Sodalis endosymbiont of Henestaris halophilus,Sodalis,Bruguierivoracaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Solibacillus sp. R5-41,strain=R5-41,Solibacillus sp. R5-41,Solibacillus,Planococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Solitalea canadensis DSM 3403,strain=DSM 3403,Solitalea canadensis,Solitalea,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,Bacteria
Sorangium cellulosum,strain=So ce836,Sorangium cellulosum,Sorangium,Polyangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
Sphaerobacter thermophilus DSM 20745,strain=DSM 20745,Sphaerobacter thermophilus,Sphaerobacter,Sphaerobacteraceae,Sphaerobacterales,Thermomicrobia,Chloroflexi,Bacteria
Sphaerochaeta pleomorpha str. Grapes,strain=Grapes,Sphaerochaeta pleomorpha,Sphaerochaeta,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
Sphaerotilus natans subsp. sulfidivorans,strain=D-507,Sphaerotilus natans,Sphaerotilus,,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Sphingobacterium multivorum,strain=FDAARGOS_1142,Sphingobacterium multivorum,Sphingobacterium,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,Bacteria
Sphingobium fuliginis ATCC 27551,strain=ATCC 27551,Sphingobium fuliginis,Sphingobium,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Sphingomonas alpina,strain=DSM 22537,Sphingomonas alpina,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Sphingopyxis macrogoltabida,strain=EY-1,Sphingopyxis macrogoltabida,Sphingopyxis,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Sphingorhabdus sp. M41,strain=M41,Sphingorhabdus sp. M41,Sphingorhabdus,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Sphingosinicella microcystinivorans,strain=B-9,Sphingosinicella microcystinivorans,Sphingosinicella,Sphingosinicellaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Spiribacter salinus M19-40,strain=M19-40,Spiribacter salinus,Spiribacter,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria
Spirochaeta thermophila DSM 6192,strain=DSM 6192,Spirochaeta thermophila,Spirochaeta,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
Spiroplasma tabanidicola,strain=TAUS-1,Spiroplasma tabanidicola,Spiroplasma,Spiroplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,Bacteria
Spirosoma rigui,strain=KCTC 12531,Spirosoma rigui,Spirosoma,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Spongiibacter sp. IMCC21906,strain=IMCC21906,Spongiibacter sp. IMCC21906,Spongiibacter,Spongiibacteraceae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
Sporolactobacillus terrae,strain=DRG1,Sporolactobacillus terrae,Sporolactobacillus,Sporolactobacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Sporomusa termitida,strain=DSM 4440,Sporomusa termitida,Sporomusa,Sporomusaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
Sporosarcina ureae,strain=P8,Sporosarcina ureae,Sporosarcina,Planococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Stackebrandtia nassauensis DSM 44728,strain=DSM 44728,Stackebrandtia nassauensis,Stackebrandtia,Glycomycetaceae,Glycomycetales,Actinomycetia,Actinobacteria,Bacteria
Stanieria cyanosphaera PCC 7437,strain=PCC 7437,Stanieria cyanosphaera,Stanieria,Dermocarpellaceae,Pleurocapsales,,Cyanobacteria,Bacteria
Staphylococcus aureus,strain=D592,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Staphylothermus marinus F1,strain=F1,Staphylothermus marinus,Staphylothermus,Desulfurococcaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea
